base_station_id,Random_d,Random_n,AllCityCenter_d,AllCityCenter_n,Uniform_d,Uniform_n,UniformRandom_d,UniformRandom_n,PopulationProportionate_d,PopulationProportionate_n
0,1,1,0,0,3,2,2,2,1,1
1,1,1,0,0,3,2,2,1,1,1
2,6,0,0,0,3,2,3,2,1,1
3,3,0,0,0,3,2,2,2,1,0
4,2,0,0,0,3,2,3,1,3,2
5,2,2,0,0,3,2,3,1,1,0
6,3,1,0,0,3,2,2,2,3,2
7,3,4,45,29,2,2,3,1,5,3
8,2,3,0,0,2,2,3,2,4,3
9,3,1,0,0,2,2,3,1,2,1
10,5,2,0,0,2,1,2,1,2,1
11,4,2,0,0,2,1,2,2,3,2
12,1,2,0,0,2,1,2,1,2,1
13,2,4,0,0,2,1,3,2,2,2
14,0,3,0,0,2,1,2,2,3,2
15,1,0,0,0,2,1,2,2,3,2
16,2,0,0,0,2,1,2,1,3,2
17,1,0,0,0,2,1,2,1,2,1
18,3,3,0,0,2,1,2,2,3,2
