timestamp,Random,AllCityCenter,Uniform,UniformRandom,PopulationProportionate
2017-08-07T00:00:21,113,113,113,113,113
2017-08-07T00:12:47,348,247,323,323,323
2017-08-07T00:21:43,725,726,725,725,725
2017-08-07T00:22:12,145,145,145,145,145
2017-08-07T00:42:13,892,2656,892,892,892
2017-08-07T00:48,534,534,462,519,462
2017-08-07T00:56:41,771,771,771,800,676
2017-08-07T01:13:12,808,1413,808,808,817
2017-08-07T01:15:58,604,654,345,345,345
2017-08-07T02:19:08,1225,1307,1225,1225,1225
2017-08-07T02:27:45,617,885,684,617,617
2017-08-07T02:29:24,860,1022,592,592,592
2017-08-07T03:24:55,543,1199,543,543,543
2017-08-07T03:48:38,1039,1044,488,488,488
2017-08-07T03:50:24,950,1026,694,694,284
2017-08-07T04:15:26,187,293,293,187,187
2017-08-07T04:23,1240,1240,794,794,794
2017-08-07T04:56:51,1436,1700,838,1087,838
2017-08-07T04:58:48,1430,1430,1152,1165,1152
2017-08-07T04:59:45,1440,1502,1237,1262,1237
2017-08-07T05:31:17,525,525,525,525,525
2017-08-07T06:20:11,538,471,538,538,538
2017-08-07T06:25:33,290,1167,541,290,290
2017-08-07T06:32:29,1214,1409,412,412,412
2017-08-07T07:01:28,233,233,233,325,233
2017-08-07T07:05:44,991,1355,799,799,799
2017-08-07T07:07:50,512,2143,512,512,512
2017-08-07T07:16:41,3658,4421,3658,3658,3658
2017-08-07T07:20:13,456,505,456,504,456
2017-08-07T07:31:48,880,880,880,880,880
2017-08-07T07:50:35,1368,4366,1368,1368,1368
2017-08-07T07:54:46,241,302,421,421,241
2017-08-07T08:02:56,1185,1993,1185,1185,1185
2017-08-07T08:07:55,432,432,432,432,432
2017-08-07T08:10:10,344,1018,344,344,344
2017-08-07T08:30:21,505,1149,505,505,505
2017-08-07T08:40:09,539,634,286,286,286
2017-08-07T08:45:43,354,733,354,354,354
2017-08-07T08:47:12,429,1306,429,429,429
2017-08-07T08:57:16,794,1141,794,794,794
2017-08-07T09:04:17,1556,1641,1556,1556,1556
2017-08-07T09:11:21,333,988,333,333,333
2017-08-07T09:16:26,923,1145,923,923,923
2017-08-07T09:33:43,237,237,131,131,131
2017-08-07T09:34:50,505,715,505,505,418
2017-08-07T09:35,578,578,578,578,578
2017-08-07T09:39:46,844,905,683,683,683
2017-08-07T09:41:56,956,1571,956,956,956
2017-08-07T09:43:30,422,422,422,422,422
2017-08-07T09:44:50,1343,2206,1343,1343,1343
2017-08-07T09:47:54,1066,802,801,801,801
2017-08-07T09:50:12,962,692,1021,1021,962
2017-08-07T09:51:25,354,855,299,299,299
2017-08-07T09:57:35,679,1323,679,679,679
2017-08-07T10:01:07,1464,1042,1432,779,779
2017-08-07T10:04:36,1171,718,1171,718,718
2017-08-07T10:12:55,442,1624,442,442,442
2017-08-07T10:21:27,875,875,875,875,875
2017-08-07T10:28:43,726,2757,726,726,2045
2017-08-07T10:31:24,842,1140,842,842,842
2017-08-07T10:33:20,630,630,285,285,285
2017-08-07T10:43:08,282,282,282,282,282
2017-08-07T10:47:37,1043,1044,1043,1043,1043
2017-08-07T10:49:12,262,1097,262,262,262
2017-08-07T10:52:31,4848,5005,4848,4848,4848
2017-08-07T10:58:32,224,674,224,224,224
2017-08-07T11:11:28,822,1055,822,822,822
2017-08-07T11:16:58,5695,7243,4461,5131,6133
2017-08-07T11:19:46,928,1224,928,928,928
2017-08-07T11:28:34,1332,3165,1332,1332,1991
2017-08-07T11:37:04,1172,1344,1172,1172,1172
2017-08-07T11:42:20,536,536,439,243,243
2017-08-07T11:44:51,1141,1358,1141,1141,1141
2017-08-07T11:50:47,9279,9317,9279,9279,9279
2017-08-07T11:50:49,679,679,679,679,679
2017-08-07T11:52:06,1023,1950,1023,1023,1023
2017-08-07T11:53:16,384,487,347,347,289
2017-08-07T12:02:34,345,1775,345,345,345
2017-08-07T12:11:49,868,1631,1069,1069,868
2017-08-07T12:17:45,550,550,550,550,550
2017-08-07T12:18:31,569,1125,569,569,569
2017-08-07T12:20:21,483,1138,822,822,483
2017-08-07T12:21:41,206,1012,206,206,538
2017-08-07T12:23:57,2112,2112,2112,2112,1833
2017-08-07T12:33:28,654,473,654,473,313
2017-08-07T12:42:19,626,612,626,519,519
2017-08-07T12:49:41,279,683,279,279,279
2017-08-07T13:04:26,242,242,334,334,242
2017-08-07T13:04:33,970,1527,353,353,353
2017-08-07T13:04:41,2389,2549,2613,2389,2389
2017-08-07T13:10:54,474,1777,474,474,474
2017-08-07T13:11:42,570,570,570,570,570
2017-08-07T13:23:44,721,721,548,548,548
2017-08-07T13:26:29,588,1108,588,588,588
2017-08-07T13:26:39,538,324,538,324,324
2017-08-07T13:31:33,1021,1021,1021,1021,1021
2017-08-07T13:31:43,643,643,528,528,528
2017-08-07T13:35,1016,749,499,499,499
2017-08-07T13:38:19,732,972,732,732,732
2017-08-07T13:52:24,858,927,348,348,348
2017-08-07T13:57:37,1378,1378,1378,1378,1378
2017-08-07T14:00,5495,5567,5495,5495,5495
2017-08-07T14:00:31,984,1069,984,737,327
2017-08-07T14:16:24,3034,3034,3215,3373,3034
2017-08-07T14:20:40,2042,1671,2007,2007,1670
2017-08-07T14:26:47,928,604,928,928,604
2017-08-07T14:27:02,987,813,629,629,629
2017-08-07T14:37:24,445,445,445,445,445
2017-08-07T14:37:42,493,277,493,493,458
2017-08-07T14:40:48,508,756,508,508,508
2017-08-07T14:49:36,473,1869,473,473,473
2017-08-07T14:52:09,1358,1940,1358,1358,1358
2017-08-07T14:53:03,503,3211,503,503,503
2017-08-07T14:56:01,334,962,334,334,334
2017-08-07T15:18:53,1735,2007,1735,1735,1735
2017-08-07T15:33:47,531,1284,531,531,531
2017-08-07T15:34:02,803,479,479,479,479
2017-08-07T15:38:21,864,792,827,827,827
2017-08-07T15:40:20,1213,2379,428,428,1213
2017-08-07T15:43:07,788,994,788,788,647
2017-08-07T15:44:55,713,760,713,713,713
2017-08-07T15:56:14,1012,343,491,296,296
2017-08-07T15:59:09,1208,688,993,1031,673
2017-08-07T15:59:49,695,978,695,695,695
2017-08-07T15:59:58,847,145,847,847,145
