num_ambulances_day,num_ambulances_night,average_response_time
1,1,3179455.707298137
1,2,2769186.986024845
1,3,1792953.7709627328
1,4,1291412.0551242237
1,5,984399.1475155279
1,6,772808.1203416149
1,7,545866.596273292
1,8,451080.22204968944
1,9,422293.99301242235
1,10,356732.924689441
1,11,304267.3190993789
1,12,259140.20807453417
1,13,224834.9961180124
1,14,189826.5287267081
1,15,162313.76630434784
1,16,142929.91847826086
1,17,109123.87965838509
1,18,92000.0450310559
1,19,75358.31909937889
1,20,62820.16149068323
1,21,54467.894409937886
1,22,37338.06211180124
1,23,30583.3649068323
1,24,25532.07453416149
1,25,24445.09704968944
1,26,24172.93245341615
1,27,21788.943322981366
1,28,22624.187111801242
1,29,21775.91304347826
1,30,21689.438664596273
1,31,21271.070652173912
1,32,20911.03105590062
1,33,20556.47360248447
1,34,20195.041925465837
1,35,19942.18090062112
1,36,19680.600155279502
1,37,19525.224378881987
1,38,19050.43245341615
1,39,19006.339285714286
1,40,18705.59394409938
1,41,18475.559782608696
1,42,18289.818322981366
1,43,18103.412267080745
1,44,17940.833074534163
1,45,17784.760869565216
1,46,17734.231366459626
1,47,17580.10403726708
1,48,17495.160714285714
1,49,17344.330745341616
1,50,17174.67158385093
1,51,17078.208074534163
1,52,16952.6350931677
1,53,16842.139751552793
1,54,16752.510869565216
1,55,16629.958850931678
1,56,16558.87189440994
1,57,16492.027173913044
1,58,16405.100155279502
1,59,16338.280279503106
1,60,16234.285714285714
1,61,16127.841614906833
1,62,16052.562888198758
1,63,16008.300465838509
1,64,15918.95652173913
1,65,16065.319099378881
1,66,15807.989906832297
1,67,15766.752329192546
1,68,15711.47748447205
1,69,15673.209627329192
1,70,15593.663819875776
2,1,2017929.0116459627
2,2,1444943.4650621118
2,3,1313921.7173913044
2,4,850681.8998447205
2,5,683351.4386645963
2,6,637991.471273292
2,7,460011.33385093167
2,8,383378.7849378882
2,9,354520.50155279506
2,10,301358.6793478261
2,11,238330.42934782608
2,12,219426.62655279503
2,13,187583.59316770185
2,14,159768.56832298136
2,15,125548.32841614907
2,16,103120.8346273292
2,17,91379.11180124224
2,18,70007.99922360248
2,19,58568.15605590062
2,20,47759.08307453416
2,21,39042.76242236025
2,22,29935.302795031057
2,23,26643.31754658385
2,24,23549.61801242236
2,25,21403.09549689441
2,26,21132.900621118013
2,27,20759.43944099379
2,28,19901.26552795031
2,29,19896.322204968943
2,30,19534.337732919255
2,31,19232.594720496894
2,32,18872.85248447205
2,33,18466.083074534163
2,34,18367.541149068322
2,35,18029.17236024845
2,36,17900.681677018634
2,37,17479.601708074533
2,38,17292.571428571428
2,39,17048.187111801242
2,40,17003.25
2,41,16849.180124223603
2,42,16518.600155279502
2,43,16324.028726708075
2,44,16186.729813664597
2,45,16089.312888198758
2,46,15941.07142857143
2,47,15820.262422360249
2,48,15664.229037267081
2,49,15596.90295031056
2,50,15476.396739130434
2,51,15567.777173913044
2,52,15285.074534161491
2,53,15184.153726708075
2,54,15109.702639751553
2,55,15202.742236024846
2,56,15143.006211180124
2,57,14833.273291925465
2,58,14782.180124223603
2,59,14700.502329192546
2,60,14623.348602484471
2,61,14557.386645962733
2,62,14498.064440993789
2,63,14454.555900621119
2,64,14393.431677018634
2,65,14324.18400621118
2,66,14478.916925465839
2,67,14227.39751552795
2,68,14163.385093167703
2,69,14350.766304347826
2,70,14062.094720496894
3,1,1419525.1366459627
3,2,1099489.6770186336
3,3,868714.2383540373
3,4,697112.9697204969
3,5,642221.1591614907
3,6,471224.7212732919
3,7,382957.16071428574
3,8,325427.5062111801
3,9,304270.01242236025
3,10,257284.9440993789
3,11,218076.8501552795
3,12,171594.40838509318
3,13,159648.98835403725
3,14,121960.67158385093
3,15,105337.03649068323
3,16,90284.57841614907
3,17,73043.98136645963
3,18,58153.66692546584
3,19,50497.707298136644
3,20,39136.01397515528
3,21,29413.01940993789
3,22,22508.330745341616
3,23,22119.23059006211
3,24,19125.27096273292
3,25,19709.632763975154
3,26,19203.271739130436
3,27,18737.80201863354
3,28,18227.60714285714
3,29,18021.975155279502
3,30,17659.591614906833
3,31,17341.44953416149
3,32,17077.69099378882
3,33,16792.77950310559
3,34,16476.353260869564
3,35,16244.32142857143
3,36,15992.739130434782
3,37,15823.301242236024
3,38,15582.031055900621
3,39,15593.367236024846
3,40,15263.099378881987
3,41,15053.045807453416
3,42,14950.973602484471
3,43,14784.385093167703
3,44,14810.0799689441
3,45,14542.996894409938
3,46,14350.241459627328
3,47,14266.298136645963
3,48,14198.059782608696
3,49,14236.921583850932
3,50,14148.324534161491
3,51,13903.03804347826
3,52,13790.434782608696
3,53,13734.810559006211
3,54,13680.959627329192
3,55,13608.774844720498
3,56,13543.413819875776
3,57,13483.594720496894
3,58,13387.72748447205
3,59,13319.204192546584
3,60,13273.395962732919
3,61,13232.559782608696
3,62,13144.52251552795
3,63,13105.631987577639
3,64,13038.545807453416
3,65,13001.336180124224
3,66,12950.069099378881
3,67,12897.721273291925
3,68,12859.760093167703
3,69,12799.520186335403
3,70,12768.045807453416
4,1,1325410.4526397516
4,2,862362.5590062112
4,3,703236.4208074535
4,4,581573.3020186336
4,5,478523.5380434783
4,6,400121.38586956525
4,7,330614.86645962734
4,8,278542.8905279503
4,9,259620.53416149068
4,10,218483.0349378882
4,11,171051.70419254657
4,12,144605.799689441
4,13,121948.2049689441
4,14,104289.84704968944
4,15,87141.13897515528
4,16,70120.95263975156
4,17,55052.30900621118
4,18,51140.44409937888
4,19,34501.73757763975
4,20,27130.07608695652
4,21,23784.907608695652
4,22,19447.350931677018
4,23,18330.174689440995
4,24,17985.891304347828
4,25,17252.211180124224
4,26,17321.84860248447
4,27,16887.782608695652
4,28,16389.07841614907
4,29,16025.71195652174
4,30,15847.91304347826
4,31,15363.606366459628
4,32,15032.994565217392
4,33,14818.926242236024
4,34,14681.216614906833
4,35,14646.062111801242
4,36,14176.900621118013
4,37,13988.372670807454
4,38,13839.915372670808
4,39,13960.465062111802
4,40,13536.225155279502
4,41,13401.241459627328
4,42,13586.337732919255
4,43,13468.947204968945
4,44,13055.02950310559
4,45,12935.245341614907
4,46,12875.290372670808
4,47,12736.615683229813
4,48,12662.166925465839
4,49,12553.690217391304
4,50,12477.875
4,51,12406.784937888198
4,52,12312.03804347826
4,53,12545.711180124224
4,54,12479.49844720497
4,55,12415.046583850932
4,56,12092.556677018634
4,57,12040.548913043478
4,58,11974.332298136645
4,59,11928.259316770187
