num_ambulances,PopulationProportionate,GA
5,584042.8361801242,548524.4642857143
6,407846.4153726708,393009.25232919253
7,348751.34704968944,329946.2189440994
8,250074.77329192546,234122.01242236025
9,180113.46583850932,164611.4953416149
10,152052.05124223602,131446.97437888198
11,101273.46739130435,83444.84549689441
12,64244.58074534161,49998.64906832298
13,45960.00543478261,33526.40683229814
14,21544.679347826088,7530.732919254659
15,4521.357142857143,3444.0597826086955
16,3193.0403726708073,2453.5877329192544
17,2461.8051242236024,2070.430900621118
18,2050.870341614907,1768.0194099378882
19,2030.0745341614906,1727.3555900621118
20,1709.0931677018634,1500.5062111801242
21,1641.0551242236024,1482.8035714285713
22,1493.251552795031,1376.6878881987577
23,1366.5139751552795,1287.3555900621118
24,1312.6218944099378,1254.6917701863354
25,1250.8563664596272,1197.4138198757764
26,1191.6847826086957,1150.7600931677018
27,1181.9642857142858,1147.0900621118012
28,1139.6397515527951,1086.1746894409937
29,1105.5318322981366,1057.5147515527951
30,1097.1638198757764,1039.5310559006211
31,1063.579192546584,1012.3990683229814
32,1049.3936335403728,1008.0178571428571
33,1025.6048136645963,983.6086956521739
34,1003.4130434782609,968.7996894409938
35,999.2849378881988,958.8975155279503
36,983.8097826086956,940.1071428571429
37,967.069099378882,924.0753105590062
38,956.5714285714286,922.1040372670808
39,940.3586956521739,898.4246894409938
40,935.4922360248447,897.0931677018633
41,933.6669254658385,889.513198757764
42,926.4479813664597,880.8944099378882
43,902.4076086956521,877.1086956521739
44,901.3214285714286,872.4906832298136
45,897.6296583850932,869.6164596273292
46,896.1669254658385,863.8827639751553
47,888.4549689440994,860.3664596273292
48,883.3020186335403,852.9930124223603
49,883.1195652173913,854.3377329192547
50,879.0201863354038,850.6909937888199
51,874.7391304347826,847.276397515528
52,874.4937888198758,843.9301242236024
53,867.6762422360248,839.3548136645962
54,863.7492236024844,837.6832298136646
55,863.7492236024844,835.4464285714286
56,856.555900621118,834.1863354037267
57,855.9945652173913,832.3167701863354
58,854.8866459627329,829.3400621118012
59,852.4223602484471,827.3144409937888
60,852.4223602484471,824.9487577639752
61,852.4223602484471,823.4681677018633
62,850.3936335403727,822.8610248447205
63,849.583850931677,821.6459627329192
64,847.3478260869565,818.5100931677018
65,846.1964285714286,817.3377329192547
66,842.8385093167702,817.4239130434783
67,835.2965838509317,814.9200310559006
68,834.5892857142857,813.5403726708074
69,834.2701863354038,815.2538819875776
70,831.6723602484471,811.9805900621118
