num_ambulances,average_response_time
5,584042.8361801242
6,407846.4153726708
7,348751.34704968944
8,250074.77329192546
9,180113.46583850932
10,152052.05124223602
11,101273.46739130435
12,64244.58074534161
13,45960.00543478261
14,21544.679347826088
15,4521.357142857143
16,3193.0403726708073
17,2461.8051242236024
18,2050.870341614907
19,2030.0745341614906
20,1709.0931677018634
21,1641.0551242236024
22,1493.251552795031
23,1366.5139751552795
24,1312.6218944099378
25,1250.8563664596272
26,1191.6847826086957
27,1181.9642857142858
28,1139.6397515527951
29,1105.5318322981366
30,1097.1638198757764
31,1063.579192546584
32,1049.3936335403728
33,1025.6048136645963
34,1003.4130434782609
35,999.2849378881988
36,983.8097826086956
37,967.069099378882
38,956.5714285714286
39,940.3586956521739
40,935.4922360248447
41,933.6669254658385
42,926.4479813664597
43,902.4076086956521
44,901.3214285714286
45,897.6296583850932
46,896.1669254658385
47,888.4549689440994
48,883.3020186335403
49,883.1195652173913
50,879.0201863354038
51,874.7391304347826
52,874.4937888198758
53,867.6762422360248
54,863.7492236024844
55,863.7492236024844
56,856.555900621118
57,855.9945652173913
58,854.8866459627329
59,852.4223602484471
60,852.4223602484471
61,852.4223602484471
62,850.3936335403727
63,849.583850931677
64,847.3478260869565
65,846.1964285714286
66,842.8385093167702
67,835.2965838509317
68,834.5892857142857
69,834.2701863354038
70,831.6723602484471
