SLS,GA,MA
900.4503105590062,869.5760869565217,889.6824534161491
903.0217391304348,866.2989130434783,885.7468944099379
898.5504658385094,865.8447204968944,883.8400621118012
905.7888198757764,866.3664596273292,880.6405279503106
898.2476708074535,869.3245341614906,878.8291925465838
897.9549689440994,867.210403726708,884.6863354037267
897.8152173913044,863.5807453416149,880.8610248447205
896.9324534161491,868.1537267080745,885.3377329192547
897.7593167701864,867.0240683229814,881.7041925465838
900.9945652173913,868.583850931677,881.041149068323
900.6110248447205,867.194099378882,882.5729813664597
901.0364906832298,868.8975155279503,875.0908385093168
908.6591614906832,866.5807453416149,885.3563664596273
905.569099378882,864.2732919254659,882.860248447205
885.8540372670808,867.0225155279503,885.3423913043479
