timestamp,SLS,GA,MA
2017-08-07T00:00:21,113,113,113
2017-08-07T00:12:47,323,348,323
2017-08-07T00:21:43,725,725,725
2017-08-07T00:22:12,145,145,145
2017-08-07T00:42:13,892,892,892
2017-08-07T00:48,462,462,462
2017-08-07T00:56:41,771,676,771
2017-08-07T01:13:12,817,817,808
2017-08-07T01:15:58,345,567,345
2017-08-07T02:19:08,1225,1225,1225
2017-08-07T02:27:45,617,684,684
2017-08-07T02:29:24,592,592,592
2017-08-07T03:24:55,714,543,543
2017-08-07T03:48:38,488,488,606
2017-08-07T03:50:24,284,284,694
2017-08-07T04:15:26,293,187,293
2017-08-07T04:23,794,794,794
2017-08-07T04:56:51,1087,838,838
2017-08-07T04:58:48,1152,1152,1152
2017-08-07T04:59:45,1237,832,832
2017-08-07T05:31:17,525,525,525
2017-08-07T06:20:11,538,538,538
2017-08-07T06:25:33,290,541,541
2017-08-07T06:32:29,412,412,412
2017-08-07T07:01:28,233,233,233
2017-08-07T07:05:44,318,318,318
2017-08-07T07:07:50,512,512,512
2017-08-07T07:16:41,3658,3658,3658
2017-08-07T07:20:13,504,456,456
2017-08-07T07:31:48,880,880,880
2017-08-07T07:50:35,1368,1368,1368
2017-08-07T07:54:46,302,241,302
2017-08-07T08:02:56,1185,1185,1185
2017-08-07T08:07:55,432,432,432
2017-08-07T08:10:10,344,344,344
2017-08-07T08:30:21,505,505,505
2017-08-07T08:40:09,286,286,286
2017-08-07T08:45:43,354,354,354
2017-08-07T08:47:12,749,429,429
2017-08-07T08:57:16,794,794,794
2017-08-07T09:04:17,1556,1556,1556
2017-08-07T09:11:21,559,333,333
2017-08-07T09:16:26,923,1011,923
2017-08-07T09:33:43,131,131,131
2017-08-07T09:34:50,418,418,418
2017-08-07T09:35,578,578,578
2017-08-07T09:39:46,683,683,683
2017-08-07T09:41:56,956,956,956
2017-08-07T09:43:30,422,422,422
2017-08-07T09:44:50,1343,1343,1343
2017-08-07T09:47:54,801,801,801
2017-08-07T09:50:12,933,933,933
2017-08-07T09:51:25,354,299,299
2017-08-07T09:57:35,679,679,679
2017-08-07T10:01:07,1042,1023,1042
2017-08-07T10:04:36,718,718,718
2017-08-07T10:12:55,442,442,442
2017-08-07T10:21:27,875,875,875
2017-08-07T10:28:43,726,726,726
2017-08-07T10:31:24,842,1002,842
2017-08-07T10:33:20,285,630,285
2017-08-07T10:43:08,282,282,282
2017-08-07T10:47:37,1043,1043,1043
2017-08-07T10:49:12,633,262,262
2017-08-07T10:52:31,4848,4848,4848
2017-08-07T10:58:32,520,224,224
2017-08-07T11:11:28,822,822,822
2017-08-07T11:16:58,5131,5695,5131
2017-08-07T11:19:46,928,928,928
2017-08-07T11:28:34,1332,1554,1554
2017-08-07T11:37:04,1172,1172,1172
2017-08-07T11:42:20,439,439,243
2017-08-07T11:44:51,1141,1141,1141
2017-08-07T11:50:47,9279,9279,9279
2017-08-07T11:50:49,679,679,679
2017-08-07T11:52:06,1023,1023,1023
2017-08-07T11:53:16,347,347,347
2017-08-07T12:02:34,345,345,632
2017-08-07T12:11:49,1069,868,868
