PopulationProportionate,UniformRandom,Uniform,GA (1 week),GA (1 year),Random,AllCityCenter,MA,SLS
1394,555,555,555,555,555,2559,555,555
593,593,593,593,593,593,593,593,593
790,1311,1311,790,948,948,609,948,948
1466,1892,1892,1466,1466,1466,1169,1707,1466
1944,1944,1944,1944,1944,1944,1944,1944,1944
2176,2176,2459,2120,2120,2184,2184,2176,2459
1396,1869,1869,1650,1650,1840,1869,1650,1650
442,261,261,442,261,261,261,261,261
891,891,891,891,891,891,1329,891,891
603,603,603,603,807,603,1364,603,807
917,917,917,917,978,917,978,917,978
511,511,511,511,511,511,1185,852,511
376,376,376,376,376,376,1248,376,376
614,614,614,614,614,614,2558,614,614
1036,1036,1071,1071,1071,1036,1690,1036,1071
1154,1154,566,1154,566,1154,1731,1154,1154
469,469,469,469,469,469,808,469,469
395,395,526,526,395,845,887,845,526
551,551,551,551,551,551,411,551,551
504,504,504,504,504,504,2448,504,504
1068,1068,1068,1068,1068,1068,1331,1075,1068
1331,1331,1331,1331,1331,1331,1970,1331,1331
654,654,654,654,654,654,748,654,654
1207,1207,581,1207,581,1266,1762,1207,581
4206,4206,4206,4206,4206,4206,6129,4206,4206
504,504,504,504,504,504,1007,504,504
255,477,255,477,255,255,564,255,255
892,892,892,892,892,1447,1854,892,892
595,595,595,595,595,595,656,595,595
618,592,618,592,618,618,1404,592,592
1366,1366,1366,1366,1366,1366,3129,1366,1366
2931,499,499,499,499,499,3457,499,499
615,615,615,615,615,615,775,615,672
3157,3157,3157,3157,3157,3157,3157,3157,3157
1862,1602,1602,1602,1602,1862,2127,1602,1602
1056,1056,1056,1056,1056,1056,1339,1088,1056
3353,3160,622,2972,2972,622,3491,2972,3274
428,428,428,428,428,428,475,428,428
1083,1083,972,986,1083,1083,905,972,972
2162,2124,2124,2124,2124,2124,2929,2124,2362
615,615,735,615,735,615,3041,615,615
1058,1058,1058,1058,1058,1058,1107,1009,1106
493,493,493,493,493,805,1379,805,493
567,567,567,567,567,567,864,567,567
1837,1837,1837,1837,1837,1837,2951,1837,1837
618,618,618,618,618,618,793,618,618
773,773,773,773,773,773,774,774,773
718,718,718,718,718,718,718,718,718
255,255,255,255,255,255,255,255,255
484,484,484,484,484,484,900,484,484
648,648,648,648,648,648,1253,648,648
855,662,662,855,855,855,1525,855,662
406,406,518,518,406,518,633,406,406
937,937,937,937,937,937,1350,937,937
1165,1165,1296,897,897,1296,1327,897,897
1225,440,440,440,440,1225,3148,440,1225
178,178,178,178,178,178,178,178,178
1193,1193,1193,1193,1193,1193,1461,1193,1193
647,735,741,569,569,817,647,569,569
311,311,311,311,311,311,311,311,311
1599,1599,1599,1315,1315,1599,2428,1315,1599
968,968,1268,968,968,1268,1642,968,1268
1807,1918,1918,1918,1807,1918,1918,1807,1807
882,954,954,882,954,954,882,882,882
2270,1447,385,1447,1447,385,3070,385,1447
910,910,910,910,910,910,2208,910,910
1168,1168,1168,1168,1168,1168,2069,1168,1168
594,594,655,594,594,655,655,594,594
243,243,243,243,243,243,243,243,243
1136,1136,1136,1136,1136,1136,1223,795,1136
3319,2598,2598,2598,2598,3319,3768,2598,2598
918,918,918,918,918,918,996,918,918
1063,1063,1063,1063,1063,1063,1360,1063,1063
420,420,420,420,420,420,768,420,420
1843,1843,1843,1843,1843,2012,2455,2012,2012
367,367,367,367,367,367,1237,367,1015
716,716,716,716,716,716,1439,716,716
1087,1087,1087,1087,1087,1087,3314,1087,1087
2717,2717,2717,2857,2857,3142,3084,2857,2717
671,671,671,671,671,865,865,865,671
901,901,1248,901,901,1248,1248,901,901
3224,3779,3779,2598,2598,3224,3779,2598,2598
461,461,665,461,461,461,461,461,461
602,602,620,602,602,620,775,620,620
1740,1740,1740,1740,1740,1740,1872,1740,1740
2778,2734,2852,2778,2778,2852,2827,2778,2778
880,880,880,880,880,880,1355,880,880
2153,995,995,995,995,995,3241,995,995
835,835,966,835,835,1540,1639,835,835
1294,908,908,1294,1294,1073,1294,1294,1073
608,608,720,608,608,406,657,657,608
419,419,419,419,419,419,1258,419,419
709,709,709,709,709,709,929,709,709
385,385,385,385,385,385,346,385,478
790,790,840,649,790,790,1003,790,790
