UniformRandom,Uniform,GA (1 year),PopulationProportionate,MA,SLS,GA (1 week),AllCityCenter,Random
269,269,269,269,269,269,269,1450,269
594,594,594,594,594,594,594,2193,594
957,957,957,594,691,255,495,255,594
615,615,615,615,615,615,615,615,615
781,860,781,781,860,860,781,740,693
280,280,524,280,280,524,280,543,280
1426,1426,944,601,1060,1060,601,774,1060
1071,1141,1071,1071,1071,1071,1071,573,735
854,806,1017,854,589,624,854,626,702
890,890,890,779,890,890,779,302,779
408,408,408,408,2075,408,2005,2347,2347
6711,6994,6711,6994,6711,6711,6711,7824,6711
1218,1218,824,1218,1218,1218,1218,1218,1218
1208,1208,1208,1547,1208,1547,1208,1381,1736
463,463,463,463,463,463,463,463,463
1331,1722,1262,936,1722,936,936,896,1331
1685,2322,1245,1111,1685,1245,1245,366,1111
3219,3219,3219,3219,3219,3219,3219,3034,3219
2673,2506,2506,1914,2506,2506,2506,1428,2506
611,611,611,611,611,1235,611,611,611
985,985,985,985,985,573,985,985,985
2524,1886,1827,1886,1886,1641,1886,1801,1886
1797,1797,1797,1797,1797,1748,1797,1797,1797
1733,1733,1733,1733,1733,1467,1733,1733,1733
1590,2112,2088,2088,1590,1552,1590,2112,1590
1272,1272,1272,1272,1272,1624,1272,1272,1272
1646,1646,1646,1646,1646,1462,1646,1646,1646
1685,1685,1685,1685,1685,1937,1685,1685,1685
1299,1299,1299,1299,1299,1731,1299,1299,1299
1191,1191,1191,1191,1191,2079,1207,1191,1191
1923,1923,1923,1923,1923,2287,1923,1923,1923
1596,1596,1596,1596,1596,1238,1596,1596,1596
703,703,703,703,703,1100,703,703,703
2359,2359,2359,2359,2359,2359,2359,2359,2359
2922,2922,2922,2922,2922,2942,2922,2922,2922
4905,4905,4905,4905,4905,4905,4905,4905,4905
929,929,929,929,929,929,929,929,929
592,592,592,592,592,574,592,492,592
488,488,488,488,488,2375,488,488,488
1968,1968,1968,1968,1968,1616,1968,1968,1968
1479,1479,1479,1479,1479,982,1479,1479,1479
4411,2007,4411,2990,4411,4411,4411,2168,3281
1996,4147,1996,1773,1996,1592,1996,1370,1996
3652,2757,3652,3652,3652,3765,3652,3652,3652
1664,1930,1664,1664,1664,1587,1664,1664,1664
2197,2097,2197,2197,2197,3287,2197,2197,2197
1978,1356,1978,1978,1978,1356,1978,1978,1978
2728,1191,2728,2728,2728,1304,2728,2728,2728
1699,2075,1699,1699,1699,2409,1699,1699,1699
1616,1902,1616,1616,1616,1353,1616,1616,1616
1176,714,1470,1470,937,1231,937,1470,937
1152,1297,1152,1296,1131,1741,1240,1296,1296
2487,1527,2487,2487,2487,1834,2487,2487,2487
1406,1406,1406,1406,1406,1318,1406,1406,1406
2220,2220,2220,2220,2220,2606,2220,2220,2220
1755,1755,1755,1755,1755,1779,1755,1936,1755
1500,1500,1500,1500,1500,1412,1500,1500,1500
2697,2248,2697,2697,2697,2004,2697,2697,2697
3052,1855,3052,3052,3052,2312,3052,3052,3052
1925,2292,1925,1925,1925,2919,1925,1925,1925
1965,1837,1965,1965,1965,3436,1965,1980,1965
2317,3050,2317,2317,2317,1321,2317,2317,2317
2687,2003,2687,3111,2687,1932,2687,2916,2916
1989,1454,2640,2640,2413,4494,2413,2218,2413
4838,5182,4838,4838,4838,1945,4838,4838,4838
1384,1967,1384,1384,1384,1282,1384,1384,1384
2723,1518,2723,2723,2723,3854,2723,2723,2723
580,3014,580,580,580,1793,580,580,580
3030,3961,3030,3030,3030,2016,3030,3030,3030
2016,3303,2016,2016,2016,1821,2016,2016,2016
2429,742,2429,2429,2429,2458,2429,2429,2429
1413,1297,1030,1030,1080,2036,1030,1030,1080
1794,1974,1794,1794,1794,2368,1794,1794,1794
1952,1783,1952,1952,1952,1231,1952,1952,1952
1206,2505,1206,1206,1206,2468,1206,1206,1206
2176,3143,2176,2176,2176,1975,2176,2176,2176
903,993,903,903,903,1575,903,903,903
2608,1953,2608,3081,2608,2608,3256,2608,3081
3588,3762,3588,3588,3588,5476,3588,3588,3588
963,1325,963,963,963,1174,963,963,963
2575,2461,2379,2058,2058,511,2058,2288,2058
1043,2022,1043,1043,1043,1493,1043,1043,1043
1997,1905,1997,1997,1997,2278,1997,2082,1997
1430,1835,1593,1593,1593,2035,1593,1593,1593
2099,2992,2131,2110,2688,2825,2110,2335,2099
1182,2416,1182,1182,1182,1317,1182,1182,1182
1794,2754,1840,2201,1794,2170,2201,1794,2201
910,1028,852,852,852,2103,852,852,869
814,250,299,686,814,466,814,250,814
3446,3787,3446,3446,3446,2541,3446,3446,3446
428,871,428,428,428,146,428,428,428
1395,970,1395,1395,1395,1079,1395,1395,1395
2669,2360,2669,3083,2669,1162,3083,2669,3083
2650,2779,2650,2650,2650,2686,2650,2650,2650
1360,1496,1496,1496,1360,1496,1360,1489,1360
707,707,707,707,707,742,707,707,707
664,664,664,664,664,664,664,1101,664
440,518,474,474,474,474,474,568,474
773,987,546,546,658,658,546,773,546
476,476,476,476,476,1264,476,2127,476
1463,1463,1463,1463,1463,1463,1463,2352,1463
527,527,527,466,466,466,466,527,466
734,681,681,467,467,467,467,467,467
1756,1756,1756,1756,1756,1756,1756,1756,1756
901,901,1105,901,901,1105,901,1687,901
1522,1522,1989,1522,1522,1989,1522,2399,1522
1501,2367,1787,1736,1787,2141,1787,1529,1605
1943,1709,1709,1943,1943,1709,1943,2497,2061
952,952,952,952,952,952,952,1558,952
1763,1429,1763,1429,1429,1763,1429,1763,1429
246,246,246,427,246,246,427,246,427
1185,1185,1185,1185,1185,1185,1185,1468,1185
481,481,481,481,481,739,481,1168,739
2566,2566,2566,2566,2566,2566,2566,3308,2566
392,392,473,392,392,392,392,867,392
645,1012,645,645,645,645,645,1440,1012
422,422,675,422,675,675,422,897,797
584,584,584,584,584,584,584,1157,584
488,488,488,488,488,488,488,488,488
1022,459,459,1022,459,459,459,1915,1022
632,632,775,1456,775,632,775,2556,1267
249,249,249,249,249,249,249,877,249
1025,1025,1025,910,1025,1025,1025,1025,1025
2337,2337,2337,2172,2337,2337,2337,2494,2337
1869,1869,1869,1869,1243,1869,1869,2424,1869
890,890,890,890,890,890,890,890,890
896,896,896,896,896,896,896,1516,896
786,786,786,786,786,786,786,1012,786
716,716,716,716,716,716,716,1363,716
379,991,991,379,991,379,991,1476,379
967,967,967,967,967,967,967,3204,967
516,516,516,516,516,516,541,542,516
1870,1870,1914,1870,1914,1870,1963,1924,1914
653,923,653,653,653,653,653,1395,923
2252,2252,2252,2252,2252,2112,2252,2344,2252
518,518,1117,518,518,1117,1117,3067,518
3238,3238,3459,3238,3459,3111,3459,3459,3459
860,860,860,860,860,860,860,1722,860
2065,2065,2065,2065,2065,2065,2065,2065,2065
556,556,1697,1697,556,1697,1697,3278,556
795,795,795,795,795,1286,795,1335,1371
528,528,528,528,528,528,528,528,528
680,680,636,636,636,682,680,682,1139
2553,3071,2553,2553,2553,2553,2553,2765,2799
599,599,599,599,599,599,599,1289,599
508,508,508,508,508,508,508,528,508
2922,2922,2922,2922,2922,2922,2922,3015,2922
3182,3448,2746,2746,2746,2746,2927,2746,3085
470,639,470,470,470,639,470,994,639
273,273,273,332,273,273,273,310,273
434,686,434,434,434,434,434,1084,686
1050,1245,1050,1050,1245,1050,1050,1245,1245
1257,1257,1153,1153,1257,1153,1153,1594,1614
1431,1431,911,1391,911,911,911,1181,1455
1363,1363,1205,1024,1205,1024,1024,1024,1363
553,553,553,553,553,553,553,746,553
701,701,813,701,813,813,701,909,1056
263,263,263,263,263,263,263,992,263
2349,2349,2349,2349,2349,2720,2349,3184,2349
465,874,465,465,465,465,465,1488,874
541,541,541,541,541,541,541,1197,541
887,887,770,770,770,770,887,824,887
801,801,557,557,801,801,557,1732,557
431,431,431,1011,431,431,431,1612,1011
374,374,374,374,627,374,374,849,374
698,698,698,698,698,698,698,1894,698
1824,1824,1824,1824,1824,1824,1824,2937,1824
601,601,601,601,601,601,601,601,601
288,968,968,288,288,714,714,1123,288
6068,6068,6068,6068,6068,6068,6068,6348,6068
637,637,637,637,637,637,637,726,726
1152,1152,1152,1152,1152,1152,1152,1152,1333
1093,1093,1137,1137,1137,1093,1137,1187,1570
1005,1005,1005,1005,1005,1005,1005,1730,1059
476,656,656,476,656,476,656,537,1012
1613,1613,1257,1257,1257,1613,1613,1931,1767
1615,1615,1615,1615,1615,1615,1615,1615,1615
1358,1358,1358,1358,1358,1358,1358,1358,1358
810,439,439,439,810,810,439,1274,439
504,504,504,504,504,504,504,1741,504
1931,1931,1931,1931,1931,1931,1931,4593,1931
567,567,567,567,567,567,567,1632,1068
461,461,461,461,461,461,461,647,461
3309,3334,3309,3309,3309,3309,3334,3335,3335
3060,3060,3060,3060,3060,3060,3060,3060,3060
1007,1007,1007,1007,1007,1007,1007,1316,1007
609,609,361,361,609,361,609,886,609
1014,1014,1014,1014,1014,1014,1014,1026,1014
382,382,382,382,382,382,382,3094,382
571,571,390,390,390,390,390,390,729
481,481,481,481,481,481,481,1546,481
642,642,642,642,642,816,642,955,642
1888,1888,2320,2320,2320,1888,1888,2559,2178
1109,1363,1109,1363,1109,1109,1109,1252,1508
738,738,738,738,738,738,738,932,738
633,633,633,633,633,633,633,1399,633
1080,1080,1080,1080,1080,1080,1080,1080,1080
996,996,996,996,996,996,996,2193,996
526,526,526,526,526,526,526,1707,1152
354,354,1588,2643,354,1588,2374,2518,354
359,555,359,359,359,359,359,652,359
462,462,462,2575,462,2465,2465,2916,462
645,645,645,645,645,645,645,1017,645
577,978,978,978,978,889,978,1463,889
1234,1234,1234,1234,1234,1234,1234,1234,1234
469,469,469,469,469,469,469,563,469
1015,475,1015,1015,1015,1015,1015,2185,1015
703,703,703,776,703,776,776,776,703
1896,1177,2359,2401,1833,2401,2401,2766,1896
904,904,904,904,904,1552,904,866,904
258,258,258,258,258,258,258,258,258
1078,1078,1078,430,1078,999,430,1188,1205
1656,1186,1656,1656,1656,1656,1656,1656,1313
849,849,849,1190,849,1190,849,1445,849
2245,1952,2245,2245,2245,2245,2245,2245,2245
1704,1704,1674,1674,1674,1674,1674,1981,1704
2408,2408,2408,2408,2408,2408,2408,2408,2408
1267,1267,1267,1267,1267,1267,1267,1267,1267
968,968,968,968,968,968,968,1263,1614
3868,3868,3868,3868,3832,3868,3868,4467,3832
404,404,223,223,223,223,223,223,404
741,741,741,741,741,741,741,1980,741
1077,1077,1077,1077,1077,454,1077,1077,1077
507,892,892,892,892,507,892,933,892
514,514,685,685,685,855,857,1188,685
800,800,800,1057,800,800,1057,1145,800
254,254,254,254,254,254,254,254,254
909,909,909,909,909,909,909,1597,909
1848,1399,1848,1848,1848,1848,1848,2004,1848
285,285,285,285,285,285,285,346,285
618,618,618,618,618,618,618,618,618
563,563,563,563,563,563,563,563,563
