UniformRandom,Uniform,GA (1 year),MA,PopulationProportionate,AllCityCenter,GA (1 week),Random,SLS
1309,1309,853,1039,422,1177,853,1199,881
453,567,453,453,453,453,567,567,453
756,756,756,756,756,2602,756,756,756
2829,3032,2829,2829,2382,2556,2829,2829,2829
1478,1952,1635,1478,1082,396,1635,1478,1952
369,369,369,369,369,314,369,369,501
1168,1168,1168,1034,828,1045,1034,828,1168
1538,1639,832,1361,1332,472,832,1361,832
565,508,565,508,508,327,508,508,327
880,416,416,880,418,178,416,826,517
6557,7950,6557,6557,6557,7738,6557,7950,6557
157,454,157,157,157,157,338,454,157
4674,4674,4674,4674,4674,6607,4674,4674,4674
1654,1654,1654,1506,1654,2315,1654,1654,1654
1154,1176,814,1176,1154,1022,814,814,1176
3307,3307,2719,3307,4052,4652,3307,3307,3307
1751,2920,1569,1569,484,1245,1308,484,2446
3772,2418,3772,2418,3532,3749,3532,797,3772
578,506,578,578,578,501,578,553,578
580,580,580,580,580,582,580,580,580
658,658,658,658,658,658,658,658,658
566,566,566,1189,566,1763,566,1189,566
2456,2373,2373,2456,2412,2458,2412,2412,2456
1405,1405,1405,1405,1405,1286,1405,1405,1405
559,647,512,512,665,484,724,724,484
803,560,548,548,607,367,548,560,367
847,580,580,847,580,872,749,749,847
898,918,1595,898,898,1545,898,1595,1057
1006,1006,1006,1006,1006,781,1006,1006,1006
3708,3708,3708,3708,3708,3708,3708,3708,3708
475,475,475,475,475,475,475,475,475
884,884,306,717,306,849,306,884,306
451,396,396,396,396,396,451,583,396
914,914,407,914,407,1288,914,407,914
3318,2583,2758,3362,2838,2402,2758,2583,2758
1302,913,913,1102,1169,1317,1102,1152,1292
1207,1313,1054,691,691,577,691,1054,1207
1239,1239,1239,1239,1239,1239,1239,1239,1239
876,876,885,876,953,1481,885,876,953
845,845,845,845,845,1320,845,845,845
575,575,575,575,575,3252,575,575,575
1518,1518,1518,2141,1518,2325,1518,2141,1518
644,983,983,644,644,983,644,644,644
387,387,387,387,387,933,387,387,387
957,957,957,957,957,957,957,957,957
375,375,375,375,375,436,375,375,375
1554,1554,1554,1554,1554,3213,1554,1554,1554
1088,1088,1156,1088,1088,1927,1088,1088,1156
806,806,806,806,806,2745,806,806,806
1954,2238,1954,1954,2577,3067,1954,1954,1954
486,775,430,486,486,775,486,430,486
1156,1156,1156,1156,1156,1419,1156,1156,1156
636,636,636,1474,1474,2286,636,1474,636
770,770,770,770,770,2031,770,770,770
1216,628,1216,1216,1216,2561,1216,1216,628
603,603,603,603,603,1799,603,603,603
449,449,449,449,1589,2645,449,449,449
991,991,991,991,991,1063,991,991,991
1012,1012,1012,1012,1851,2660,1012,1012,1012
1073,1073,1073,1121,1355,2113,1073,1355,1073
2291,1227,2291,2291,2536,3488,2291,2291,2291
670,670,670,670,670,1532,670,670,670
222,222,222,222,839,1396,222,839,839
