UniformRandom,GA (1 week),PopulationProportionate,Uniform,Random,AllCityCenter,SLS,GA (1 year),MA
579,579,579,579,579,579,579,579,579
1525,2290,2211,1280,2142,2723,2290,2142,1525
610,538,538,538,610,538,538,610,538
385,385,385,639,639,385,639,639,385
718,807,640,675,640,675,640,640,718
472,472,472,472,472,511,472,472,472
645,645,645,645,645,1681,645,645,645
1489,1489,2291,1489,1489,3121,1489,1489,1489
492,1093,1249,1093,492,1454,1093,1093,492
781,781,781,781,781,1117,781,781,781
402,446,402,368,368,485,368,368,402
536,536,562,597,597,755,732,562,536
998,1129,998,1402,998,998,998,998,1129
916,916,916,916,916,1089,916,916,916
847,675,675,1106,841,1106,841,675,675
831,492,831,1043,831,831,831,831,831
490,490,490,490,490,872,490,490,490
591,591,591,591,591,854,591,591,591
851,851,851,851,851,2167,851,851,851
809,809,555,1038,555,958,555,555,809
308,308,308,308,308,308,308,308,308
523,523,523,523,523,922,523,523,705
651,651,651,651,651,1481,651,651,651
655,466,466,466,466,800,655,466,466
1190,1190,1190,1190,1190,1251,1190,1190,1190
740,740,740,740,740,740,740,740,740
446,446,446,446,446,644,446,446,446
849,849,849,849,849,1503,884,884,849
1227,1227,1227,1227,1369,1708,1227,1227,1227
496,496,496,496,496,1267,496,496,496
1237,1237,1237,1237,1237,2099,1237,1237,1237
858,858,858,858,858,858,858,858,858
1705,1539,1539,1539,1539,1970,1705,1539,1539
770,770,770,770,770,889,770,770,770
600,600,473,600,473,821,473,473,600
542,542,542,542,542,889,542,542,542
1222,1222,1222,1222,1631,1895,1222,1033,1222
648,648,648,648,648,648,648,648,648
392,392,392,392,392,3170,392,392,392
1098,1098,1098,1098,1098,2049,1098,1098,1098
795,795,795,795,795,1530,795,795,795
506,506,506,506,506,3230,506,506,506
1603,1603,1603,1603,1603,3298,1603,1603,1603
555,555,555,555,555,1029,555,555,555
795,795,795,795,795,1693,795,795,795
457,518,457,518,457,518,457,457,457
586,586,586,697,586,586,586,586,586
440,440,440,440,440,466,440,440,440
430,430,430,430,430,662,430,430,430
1202,1202,1202,1202,1202,1202,1202,1202,1202
665,665,665,665,665,665,665,665,665
623,623,623,623,1109,1158,813,623,623
1252,1252,1252,1252,1252,1252,1252,1252,1252
410,410,410,626,784,412,410,410,410
450,450,450,450,450,1299,450,450,450
548,548,367,548,706,367,367,548,548
655,655,655,850,702,702,655,655,655
360,360,360,360,360,721,673,360,360
595,595,595,595,595,595,595,595,595
2221,2221,2221,2221,2221,2175,2221,2221,2221
454,454,454,454,454,454,454,454,454
375,194,194,375,355,194,194,194,194
448,448,448,448,448,623,448,448,448
829,829,829,829,829,1406,829,829,829
2125,2125,3359,2125,2125,4289,2125,2125,2125
698,698,698,698,698,1561,698,698,698
