id,name,type,area,latitude,longitude,easting,northing
0,Eidsvoll,stasjon,nord,60.312619,11.146740,287187,6692448
1,Nes,stasjon,nord,60.119639,11.475770,304199,6669959
2,Ullensaker/Nannestad,stasjon,nord,60.126842,11.155324,286455,6671754
3,Aurskog-Holand,stasjon,ost,59.879044,11.561688,307577,6642937
4,Lorenskog,stasjon,ost,59.932077,10.987775,275840,6650643
5,Nittedal,stasjon,ost,60.042151,10.880784,270631,6663254
6,Brobekk,stasjon,ost,59.930732,10.831093,267085,6651035
7,Sentrum,stasjon,midt,59.917000,10.758745,262948,6649765
8,Ullevaal,stasjon,midt,59.936368,10.735222,261774,6652003
9,Nordre Follo,stasjon,sor,59.715662,10.853331,266827,6627037
10,Sondre Follo,stasjon,sor,59.659685,10.725880,259265,6621267
11,Prinsdal,stasjon,sor,59.833071,10.806946,265048,6640259
12,Asker,stasjon,vest,59.830057,10.439887,244478,6641283
13,Baerum,stasjon,vest,59.898129,10.509723,248901,6648585
14,Smestad,stasjon,vest,59.939663,10.687367,259127,6652543
15,Ryen,beredskapspunkt,,59.893172,10.806365,265439,6646945
16,Grorud,beredskapspunkt,,59.960304,10.884091,270248,6654139
17,Skedsmokorset,beredskapspunkt,,59.997877,11.039280,279154,6657789
18,Bekkestua,beredskapspunkt,,59.917872,10.585751,253295,6650494
