id,name,type,area,latitude,longitude,easting,northing,population
0,Eidsvoll,stasjon,nord,60.312619,11.146740,287187,6692448,34399
1,Nes,stasjon,nord,60.119639,11.475770,304206,6669953,22986
2,Ullensaker/Nannestad,stasjon,nord,60.126842,11.155324,286455,6671754,46566
3,Aurskog-Holand,stasjon,ost,59.879044,11.561688,307577,6642937,18528
4,Lorenskog,stasjon,ost,59.932077,10.987775,275840,6650643,122609
5,Nittedal,stasjon,ost,60.042151,10.880784,270631,6663254,21117
6,Brobekk,stasjon,ost,59.930732,10.831093,267085,6651035,79743
7,Sentrum,stasjon,midt,59.917000,10.758745,262948,6649765,113998
8,Ullevaal,stasjon,midt,59.936368,10.735222,261774,6652003,83078
9,Nordre Follo,stasjon,sor,59.715662,10.853331,266827,6627037,45070
10,Sondre Follo,stasjon,sor,59.659685,10.725880,259265,6621267,66265
11,Prinsdal,stasjon,sor,59.833071,10.806946,265048,6640259,69424
12,Asker,stasjon,vest,59.830057,10.439887,244478,6641283,57732
13,Baerum,stasjon,vest,59.898129,10.509723,248901,6648585,59736
14,Smestad,stasjon,vest,59.939663,10.687367,259127,6652543,150191
15,Ryen,beredskapspunkt,,59.893172,10.806365,265439,6646945,130185
16,Grorud,beredskapspunkt,,59.960304,10.884091,270248,6654139,75225
17,Skedsmokorset,beredskapspunkt,,59.997877,11.039280,279154,6657789,48536
18,Bekkestua,beredskapspunkt,,59.917872,10.585751,253295,6650494,55464
