SSBID1000M,easting,northing,Join_Count,TARGET_FID,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
22490006661000,249500,6661500,1,600,2249000,6661000,249500,6661500,4000,1000000,301,3
22490006662000,249500,6662500,1,650,2249000,6662000,249500,6662500,4000,1000000,301,3
22700006640000,270500,6640500,1,2021,2270000,6640000,270500,6640500,4000,1000000,301,3
22710006640000,271500,6640500,1,2022,2271000,6640000,271500,6640500,4000,1000000,301,3
22620006641000,262500,6641500,1,2063,2262000,6641000,262500,6641500,4000,1000000,301,3
22680006641000,268500,6641500,1,2069,2268000,6641000,268500,6641500,4000,1000000,301,3
22690006641000,269500,6641500,1,2070,2269000,6641000,269500,6641500,4000,1000000,301,3
22700006641000,270500,6641500,1,2071,2270000,6641000,270500,6641500,4000,1000000,301,3
22710006641000,271500,6641500,1,2072,2271000,6641000,271500,6641500,4000,1000000,301,3
22610006642000,261500,6642500,1,2112,2261000,6642000,261500,6642500,4000,1000000,301,3
22620006642000,262500,6642500,1,2113,2262000,6642000,262500,6642500,4000,1000000,301,3
22680006642000,268500,6642500,1,2119,2268000,6642000,268500,6642500,4000,1000000,301,3
22690006642000,269500,6642500,1,2120,2269000,6642000,269500,6642500,4000,1000000,301,3
22700006642000,270500,6642500,1,2121,2270000,6642000,270500,6642500,4000,1000000,301,3
22610006643000,261500,6643500,1,2162,2261000,6643000,261500,6643500,4000,1000000,301,3
22680006643000,268500,6643500,1,2169,2268000,6643000,268500,6643500,4000,1000000,301,3
22690006643000,269500,6643500,1,2170,2269000,6643000,269500,6643500,4000,1000000,301,3
22700006643000,270500,6643500,1,2171,2270000,6643000,270500,6643500,4000,1000000,301,3
22610006644000,261500,6644500,1,2212,2261000,6644000,261500,6644500,4000,1000000,301,3
22700006644000,270500,6644500,1,2221,2270000,6644000,270500,6644500,4000,1000000,301,3
22590006645000,259500,6645500,1,2260,2259000,6645000,259500,6645500,4000,1000000,301,3
22600006645000,260500,6645500,1,2261,2260000,6645000,260500,6645500,4000,1000000,301,3
22610006645000,261500,6645500,1,2262,2261000,6645000,261500,6645500,4000,1000000,301,3
22690006645000,269500,6645500,1,2270,2269000,6645000,269500,6645500,4000,1000000,301,3
22700006645000,270500,6645500,1,2271,2270000,6645000,270500,6645500,4000,1000000,301,3
22570006646000,257500,6646500,1,2308,2257000,6646000,257500,6646500,4000,1000000,301,3
22580006646000,258500,6646500,1,2309,2258000,6646000,258500,6646500,4000,1000000,301,3
22590006646000,259500,6646500,1,2310,2259000,6646000,259500,6646500,4000,1000000,301,3
22600006646000,260500,6646500,1,2311,2260000,6646000,260500,6646500,4000,1000000,301,3
22620006646000,262500,6646500,1,2313,2262000,6646000,262500,6646500,4000,1000000,301,3
22690006646000,269500,6646500,1,2320,2269000,6646000,269500,6646500,4000,1000000,301,3
22700006646000,270500,6646500,1,2321,2270000,6646000,270500,6646500,4000,1000000,301,3
22590006647000,259500,6647500,1,2360,2259000,6647000,259500,6647500,4000,1000000,301,3
22600006647000,260500,6647500,1,2361,2260000,6647000,260500,6647500,4000,1000000,301,3
22610006647000,261500,6647500,1,2362,2261000,6647000,261500,6647500,4000,1000000,301,3
22690006647000,269500,6647500,1,2370,2269000,6647000,269500,6647500,4000,1000000,301,3
22700006647000,270500,6647500,1,2371,2270000,6647000,270500,6647500,4000,1000000,301,3
22690006648000,269500,6648500,1,2420,2269000,6648000,269500,6648500,4000,1000000,301,3
22700006648000,270500,6648500,1,2421,2270000,6648000,270500,6648500,4000,1000000,301,3
22700006649000,270500,6649500,1,2471,2270000,6649000,270500,6649500,4000,1000000,301,3
