SSBID1000M,pop_tot,year,easting,northing
22390006640000,308,2015,239500.0,6640500.0
22390006643000,9,2015,239500.0,6643500.0
22400006638000,487,2015,240500.0,6638500.0
22400006639000,447,2015,240500.0,6639500.0
22400006640000,825,2015,240500.0,6640500.0
22400006641000,100,2015,240500.0,6641500.0
22400006642000,16,2015,240500.0,6642500.0
22400006655000,30,2015,240500.0,6655500.0
22410006637000,6,2015,241500.0,6637500.0
22410006638000,272,2015,241500.0,6638500.0
22410006639000,25,2015,241500.0,6639500.0
22410006640000,1553,2015,241500.0,6640500.0
22410006641000,736,2015,241500.0,6641500.0
22410006642000,55,2015,241500.0,6642500.0
22410006643000,1,2015,241500.0,6643500.0
22410006646000,1,2015,241500.0,6646500.0
22410006654000,16,2015,241500.0,6654500.0
22410006655000,55,2015,241500.0,6655500.0
22410006656000,29,2015,241500.0,6656500.0
22420006636000,8,2015,242500.0,6636500.0
22420006637000,12,2015,242500.0,6637500.0
22420006638000,100,2015,242500.0,6638500.0
22420006639000,1,2015,242500.0,6639500.0
22420006640000,192,2015,242500.0,6640500.0
22420006641000,1323,2015,242500.0,6641500.0
22420006642000,321,2015,242500.0,6642500.0
22420006643000,99,2015,242500.0,6643500.0
22420006644000,9,2015,242500.0,6644500.0
22420006654000,19,2015,242500.0,6654500.0
22430006635000,550,2015,243500.0,6635500.0
22430006636000,679,2015,243500.0,6636500.0
22430006637000,642,2015,243500.0,6637500.0
22430006638000,29,2015,243500.0,6638500.0
22430006639000,926,2015,243500.0,6639500.0
22430006640000,2751,2015,243500.0,6640500.0
22430006641000,1787,2015,243500.0,6641500.0
22430006642000,1866,2015,243500.0,6642500.0
22430006643000,404,2015,243500.0,6643500.0
22430006644000,18,2015,243500.0,6644500.0
22430006645000,6,2015,243500.0,6645500.0
22430006646000,2,2015,243500.0,6646500.0
22430006647000,1,2015,243500.0,6647500.0
22430006653000,34,2015,243500.0,6653500.0
22430006654000,28,2015,243500.0,6654500.0
