X,Y,Join_Count,TARGET_FID,SSBid,ost,nord,CENTROID_X,CENTROID_Y,Shape_Leng,Shape_Area,Komm2016,Fylk2016
249500.0,6627500.0,1,1400,22490006627000,2249000,6627000,249500,6627500,4000,1000000,0215,02
249500.0,6628500.0,1,1450,22490006628000,2249000,6628000,249500,6628500,4000,1000000,0215,02
249500.0,6632500.0,1,1650,22490006632000,2249000,6632000,249500,6632500,4000,1000000,0215,02
243500.0,6635500.0,1,1794,22430006635000,2243000,6635000,243500,6635500,4000,1000000,0220,02
245500.0,6635500.0,1,1796,22450006635000,2245000,6635000,245500,6635500,4000,1000000,0220,02
240500.0,6636500.0,1,1841,22400006636000,2240000,6636000,240500,6636500,4000,1000000,0220,02
242500.0,6636500.0,1,1843,22420006636000,2242000,6636000,242500,6636500,4000,1000000,0220,02
243500.0,6636500.0,1,1844,22430006636000,2243000,6636000,243500,6636500,4000,1000000,0220,02
244500.0,6636500.0,1,1845,22440006636000,2244000,6636000,244500,6636500,4000,1000000,0220,02
245500.0,6636500.0,1,1846,22450006636000,2245000,6636000,245500,6636500,4000,1000000,0220,02
246500.0,6636500.0,1,1847,22460006636000,2246000,6636000,246500,6636500,4000,1000000,0220,02
247500.0,6636500.0,1,1848,22470006636000,2247000,6636000,247500,6636500,4000,1000000,0220,02
248500.0,6636500.0,1,1849,22480006636000,2248000,6636000,248500,6636500,4000,1000000,0220,02
249500.0,6636500.0,1,1850,22490006636000,2249000,6636000,249500,6636500,4000,1000000,0220,02
239500.0,6637500.0,1,1890,22390006637000,2239000,6637000,239500,6637500,4000,1000000,0220,02
240500.0,6637500.0,1,1891,22400006637000,2240000,6637000,240500,6637500,4000,1000000,0220,02
241500.0,6637500.0,1,1892,22410006637000,2241000,6637000,241500,6637500,4000,1000000,0220,02
242500.0,6637500.0,1,1893,22420006637000,2242000,6637000,242500,6637500,4000,1000000,0220,02
243500.0,6637500.0,1,1894,22430006637000,2243000,6637000,243500,6637500,4000,1000000,0220,02
244500.0,6637500.0,1,1895,22440006637000,2244000,6637000,244500,6637500,4000,1000000,0220,02
245500.0,6637500.0,1,1896,22450006637000,2245000,6637000,245500,6637500,4000,1000000,0220,02
246500.0,6637500.0,1,1897,22460006637000,2246000,6637000,246500,6637500,4000,1000000,0220,02
247500.0,6637500.0,1,1898,22470006637000,2247000,6637000,247500,6637500,4000,1000000,0220,02
248500.0,6637500.0,1,1899,22480006637000,2248000,6637000,248500,6637500,4000,1000000,0220,02
249500.0,6637500.0,1,1900,22490006637000,2249000,6637000,249500,6637500,4000,1000000,0220,02
239500.0,6638500.0,1,1940,22390006638000,2239000,6638000,239500,6638500,4000,1000000,0220,02
240500.0,6638500.0,1,1941,22400006638000,2240000,6638000,240500,6638500,4000,1000000,0220,02
241500.0,6638500.0,1,1942,22410006638000,2241000,6638000,241500,6638500,4000,1000000,0220,02
242500.0,6638500.0,1,1943,22420006638000,2242000,6638000,242500,6638500,4000,1000000,0220,02
243500.0,6638500.0,1,1944,22430006638000,2243000,6638000,243500,6638500,4000,1000000,0220,02
244500.0,6638500.0,1,1945,22440006638000,2244000,6638000,244500,6638500,4000,1000000,0220,02
245500.0,6638500.0,1,1946,22450006638000,2245000,6638000,245500,6638500,4000,1000000,0220,02
246500.0,6638500.0,1,1947,22460006638000,2246000,6638000,246500,6638500,4000,1000000,0220,02
247500.0,6638500.0,1,1948,22470006638000,2247000,6638000,247500,6638500,4000,1000000,0220,02
248500.0,6638500.0,1,1949,22480006638000,2248000,6638000,248500,6638500,4000,1000000,0220,02
249500.0,6638500.0,1,1950,22490006638000,2249000,6638000,249500,6638500,4000,1000000,0220,02
240500.0,6639500.0,1,1991,22400006639000,2240000,6639000,240500,6639500,4000,1000000,0220,02
241500.0,6639500.0,1,1992,22410006639000,2241000,6639000,241500,6639500,4000,1000000,0220,02
242500.0,6639500.0,1,1993,22420006639000,2242000,6639000,242500,6639500,4000,1000000,0220,02
243500.0,6639500.0,1,1994,22430006639000,2243000,6639000,243500,6639500,4000,1000000,0220,02
244500.0,6639500.0,1,1995,22440006639000,2244000,6639000,244500,6639500,4000,1000000,0220,02
245500.0,6639500.0,1,1996,22450006639000,2245000,6639000,245500,6639500,4000,1000000,0220,02
246500.0,6639500.0,1,1997,22460006639000,2246000,6639000,246500,6639500,4000,1000000,0220,02
247500.0,6639500.0,1,1998,22470006639000,2247000,6639000,247500,6639500,4000,1000000,0220,02
248500.0,6639500.0,1,1999,22480006639000,2248000,6639000,248500,6639500,4000,1000000,0220,02
249500.0,6639500.0,1,2000,22490006639000,2249000,6639000,249500,6639500,4000,1000000,0220,02
239500.0,6640500.0,1,2040,22390006640000,2239000,6640000,239500,6640500,4000,1000000,0220,02
240500.0,6640500.0,1,2041,22400006640000,2240000,6640000,240500,6640500,4000,1000000,0220,02
241500.0,6640500.0,1,2042,22410006640000,2241000,6640000,241500,6640500,4000,1000000,0220,02
242500.0,6640500.0,1,2043,22420006640000,2242000,6640000,242500,6640500,4000,1000000,0220,02
243500.0,6640500.0,1,2044,22430006640000,2243000,6640000,243500,6640500,4000,1000000,0220,02
244500.0,6640500.0,1,2045,22440006640000,2244000,6640000,244500,6640500,4000,1000000,0220,02
245500.0,6640500.0,1,2046,22450006640000,2245000,6640000,245500,6640500,4000,1000000,0220,02
246500.0,6640500.0,1,2047,22460006640000,2246000,6640000,246500,6640500,4000,1000000,0220,02
247500.0,6640500.0,1,2048,22470006640000,2247000,6640000,247500,6640500,4000,1000000,0220,02
248500.0,6640500.0,1,2049,22480006640000,2248000,6640000,248500,6640500,4000,1000000,0220,02
249500.0,6640500.0,1,2050,22490006640000,2249000,6640000,249500,6640500,4000,1000000,0220,02
240500.0,6641500.0,1,2091,22400006641000,2240000,6641000,240500,6641500,4000,1000000,0220,02
241500.0,6641500.0,1,2092,22410006641000,2241000,6641000,241500,6641500,4000,1000000,0220,02
242500.0,6641500.0,1,2093,22420006641000,2242000,6641000,242500,6641500,4000,1000000,0220,02
243500.0,6641500.0,1,2094,22430006641000,2243000,6641000,243500,6641500,4000,1000000,0220,02
244500.0,6641500.0,1,2095,22440006641000,2244000,6641000,244500,6641500,4000,1000000,0220,02
245500.0,6641500.0,1,2096,22450006641000,2245000,6641000,245500,6641500,4000,1000000,0220,02
246500.0,6641500.0,1,2097,22460006641000,2246000,6641000,246500,6641500,4000,1000000,0220,02
247500.0,6641500.0,1,2098,22470006641000,2247000,6641000,247500,6641500,4000,1000000,0220,02
248500.0,6641500.0,1,2099,22480006641000,2248000,6641000,248500,6641500,4000,1000000,0220,02
249500.0,6641500.0,1,2100,22490006641000,2249000,6641000,249500,6641500,4000,1000000,0220,02
240500.0,6642500.0,1,2141,22400006642000,2240000,6642000,240500,6642500,4000,1000000,0220,02
241500.0,6642500.0,1,2142,22410006642000,2241000,6642000,241500,6642500,4000,1000000,0220,02
242500.0,6642500.0,1,2143,22420006642000,2242000,6642000,242500,6642500,4000,1000000,0220,02
243500.0,6642500.0,1,2144,22430006642000,2243000,6642000,243500,6642500,4000,1000000,0220,02
244500.0,6642500.0,1,2145,22440006642000,2244000,6642000,244500,6642500,4000,1000000,0220,02
245500.0,6642500.0,1,2146,22450006642000,2245000,6642000,245500,6642500,4000,1000000,0220,02
246500.0,6642500.0,1,2147,22460006642000,2246000,6642000,246500,6642500,4000,1000000,0220,02
247500.0,6642500.0,1,2148,22470006642000,2247000,6642000,247500,6642500,4000,1000000,0220,02
248500.0,6642500.0,1,2149,22480006642000,2248000,6642000,248500,6642500,4000,1000000,0220,02
